Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2009",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Holdrege,"5,122",16,10,6
,Imperial,"1,740",4,4,0
,Kearney,"30,759",65,52,13
,Kimball,"2,156",7,6,1
,La Vista,"17,293",37,33,4
,Lexington,"10,138",15,13,2
,Lincoln,"254,438",414,319,95
,Lyons,847,2,2,0
,Madison,"2,168",4,4,0
,McCook,"7,377",20,16,4
,Milford,"2,037",5,5,0
,Minden,"2,782",5,5,0
,Mitchell,"1,780",4,4,0
,Nebraska City,"7,011",15,14,1
,Neligh,"1,440",3,3,0
,Norfolk,"22,892",56,38,18
,North Platte,"24,127",67,42,25
,Ogallala,"4,361",11,10,1
,Omaha,"443,037",913,769,144
,O'Neill,"3,267",8,7,1
,Ord,"2,003",4,4,0
,Papillion,"24,390",43,39,4
,Pierce,"1,626",3,3,0
,Plainview,"1,185",2,2,0
,Plattsmouth,"6,902",17,15,2
,Ralston,"6,077",13,11,2
,Schuyler,"5,136",8,6,2
,Scottsbluff,"14,773",35,30,5
,Scribner,952,1,1,0
,Seward,"6,883",11,9,2
,Sidney,"6,514",15,13,2
,St. Paul,"2,197",4,4,0
,Superior,"1,767",4,4,0
,Tecumseh,"1,563",4,3,1
,Tekamah,"1,701",3,3,0
,Valentine,"2,568",6,5,1
,Valley,"1,937",3,3,0
,Wahoo,"3,968",6,6,0
,Waterloo,842,2,2,0
,Wayne,"5,268",15,9,6
,West Point,"3,322",8,7,1
,Wilber,"1,725",4,4,0
,Wymore,"1,580",3,3,0
,York,"7,847",20,14,6
NEVADA,Boulder City,"14,686",43,31,12
,Carlin,"2,075",6,5,1
,Elko,"17,177",43,38,5
,Fallon,"8,589",36,22,14
,Henderson,"261,883",554,360,194
,Las Vegas Metropolitan Police Department,"1,377,282","5,264","2,735","2,529"
,Lovelock,"1,840",7,6,1
,Mesquite,"17,453",57,32,25
,North Las Vegas,"232,631",473,308,165
,Reno,"221,010",462,369,93
,Sparks,"91,421",155,108,47
,West Wendover,"5,025",22,13,9
,Winnemucca,"8,202",21,18,3
,Yerington,"3,960",6,5,1
NEW HAMPSHIRE,Alexandria,"1,561",2,2,0
,Alstead,"2,115",2,2,0
,Alton,"5,148",14,12,2
,Amherst,"11,914",19,18,1
,Antrim,"2,640",5,5,0
,Ashland,"2,102",5,5,0
,Auburn,"5,216",9,7,2
,Barnstead,"4,678",5,5,0
,Barrington,"8,580",11,10,1
,Bartlett,"2,934",4,3,1
,Bedford,"21,438",49,35,14
,Belmont,"7,181",15,13,2
,Bennington,"1,470",2,2,0
,Berlin,"9,474",30,22,8
,Bethlehem,"2,490",6,5,1
,Boscawen,"3,984",8,7,1
,Bow,"8,186",20,14,6
,Bradford,"1,545",2,2,0
,Brentwood,"4,057",5,5,0
,Bristol,"3,133",11,9,2
,Campton,"3,039",6,5,1
,Candia,"4,205",8,7,1
,Canterbury,"2,334",2,2,0
,Carroll,750,4,4,0
,Center Harbor,"1,118",3,3,0
,Charlestown,"4,849",8,5,3
,Chester,"4,831",5,4,1
,Claremont,"12,940",27,22,5
,Colebrook,"2,344",5,5,0
,Concord,"42,427",94,75,19
,Conway,"9,240",31,22,9
,Danville,"4,375",6,5,1
,Deerfield,"4,261",9,8,1
,Deering,"2,066",2,2,0
,Derry,"34,189",71,58,13
,Dover,"28,794",64,44,20
,Dublin,"1,598",4,3,1
,Dunbarton,"2,684",3,3,0
,Durham,"13,782",21,19,2
,Enfield,"4,872",8,7,1
,Epping,"6,341",14,13,1
,Epsom,"4,643",6,5,1
,Exeter,"14,838",33,23,10
,Farmington,"6,821",16,14,2
,Fitzwilliam,"2,315",3,3,0
,Franconia,"1,059",3,3,0
,Franklin,"8,748",23,16,7
,Freedom,"1,448",3,3,0
,Fremont,"4,204",4,3,1
,Gilford,"7,526",23,17,6
,Gilmanton,"3,565",6,5,1
,Goffstown,"17,634",42,28,14
,Gorham,"2,787",10,7,3
,Grantham,"2,558",5,4,1
,Greenland,"3,444",7,7,0
,Hampstead,"9,026",7,7,0
,Hampton,"15,412",43,34,9
,Hancock,"1,807",3,3,0
,Hanover,"11,093",35,21,14
,Haverhill,"4,694",7,6,1
,Henniker,"5,125",10,8,2
,Hillsborough,"5,618",19,12,7
,Hinsdale,"4,178",7,6,1
,Hooksett,"14,027",36,26,10
,Hopkinton,"5,616",7,7,0
,Hudson,"24,978",61,46,15
,Jaffrey,"5,686",12,11,1
,Keene,"22,376",58,43,15
,Kingston,"6,250",10,9,1
,Laconia,"17,127",48,38,10
,Lancaster,"3,246",8,7,1
,Lebanon,"12,832",48,35,13
,Lee,"4,495",8,7,1
,Lincoln,"1,358",13,8,5
,Lisbon,"1,668",4,4,0
,Litchfield,"8,884",12,10,2
,Littleton,"6,221",12,11,1
,Londonderry,"25,205",84,69,15
,Loudon,"5,168",7,6,1
,Madison,"2,339",4,3,1
,Manchester,"108,671",276,213,63
,Marlborough,"2,077",3,3,0
,Meredith,"6,700",18,14,4
,Merrimack,"26,594",54,40,14
,Middleton,"1,872",4,4,0
,Milford,"15,133",30,25,5
,Milton,"4,655",8,7,1
,Mont Vernon,"2,404",3,3,0
,Moultonborough,"5,041",15,12,3
,Nashua,"86,554",227,170,57
,New Boston,"5,186",7,6,1
,Newbury,"2,134",4,4,0
,New Durham,"2,590",6,5,1
,Newfields,"1,635",4,4,0
,New Hampton,"2,280",6,6,0
,Newington,805,11,10,1
,New Ipswich,"5,430",7,6,1
,New London,"4,509",13,8,5
,Newmarket,"9,602",20,13,7
,Newport,"6,550",19,14,5
,Newton,"4,594",8,5,3
,Northfield,"5,187",11,10,1
,North Hampton,"4,536",13,12,1
,Northumberland,"2,302",4,4,0
,Northwood,"4,192",8,7,1
,Nottingham,"4,628",7,6,1
,Ossipee,"4,733",10,9,1
,Pelham,"12,770",26,19,7
,Pembroke,"7,379",14,12,2
,Peterborough,"6,218",13,11,2
,Pittsfield,"4,409",9,8,1
,Plaistow,"7,607",25,17,8
,Plymouth,"6,444",16,10,6
,Portsmouth,"20,401",82,62,20
,Raymond,"10,296",26,17,9
,Rindge,"6,669",9,8,1
,Rochester,"30,889",75,56,19
,Rollinsford,"2,642",4,4,0
,Rye,"5,140",10,9,1
,Sandown,"5,948",7,7,0
,Sandwich,"1,319",2,2,0
,Seabrook,"8,551",34,27,7
,Somersworth,"12,020",31,24,7
,South Hampton,879,1,1,0
,Strafford,"4,115",4,4,0
,Stratham,"7,394",11,10,1
,Sugar Hill,618,2,2,0
,Sunapee,"3,396",5,5,0
,Thornton,"2,166",4,3,1
,Tilton,"3,604",19,17,2
,Troy,"2,073",4,4,0
,Wakefield,"5,485",10,9,1
,Walpole,"3,684",4,3,1
,Warner,"2,967",4,3,1
,Washington,"1,097",1,1,0
,Waterville Valley,271,7,6,1
,Weare,"9,242",12,11,1
,Webster,"1,902",1,1,0
,Wilton,"3,940",7,6,1
,Winchester,"4,301",8,7,1
,Windham,"13,528",24,17,7
,Wolfeboro,"6,578",17,12,5
,Woodstock,"1,168",5,5,0
NEW JERSEY,Aberdeen Township,"18,493",42,35,7
,Absecon,"8,478",30,24,6
,Allendale,"6,587",19,14,5
,Allenhurst,697,13,9,4
,Allentown,"1,840",5,4,1
,Alpine,"2,514",13,13,0
,Andover Township,"6,585",18,12,6
,Asbury Park,"16,499",101,89,12
,Atlantic City,"39,295",529,375,154
,Atlantic Highlands,"4,589",20,15,5
,Audubon,"8,852",22,20,2
,Avalon,"2,087",29,21,8
,Avon-by-the-Sea,"2,196",11,11,0
,Barnegat Township,"23,196",56,46,10
,Barrington,"6,924",15,14,1
,Bay Head,"1,268",9,8,1
,Bayonne,"56,982",239,203,36
,Beach Haven,"1,404",13,11,2
,Beachwood,"10,886",20,18,2
,Bedminster Township,"8,356",18,16,2
,Belleville,"33,610",110,101,9
,Bellmawr,"11,168",25,23,2
,Belmar,"5,891",26,20,6
,Belvidere,"2,622",7,6,1
,Bergenfield,"25,542",52,44,8
,Berkeley Heights Township,"13,335",34,26,8
,Berkeley Township,"43,044",95,73,22
,Berlin,"8,142",21,20,1
,Berlin Township,"5,429",20,19,1
,Bernards Township,"26,681",54,39,15
,Bernardsville,"7,799",24,18,6
,Beverly,"2,553",7,7,0
,Blairstown Township,"5,961",8,6,2
,Bloomfield,"43,489",138,126,12
,Bloomingdale,"7,436",19,18,1
,Bogota,"7,881",20,15,5
,Boonton,"8,467",24,19,5
,Boonton Township,"4,509",13,13,0
,Bordentown,"3,801",14,12,2
,Bordentown Township,"10,301",29,24,5
,Bound Brook,"10,398",27,22,5
,Bradley Beach,"4,849",20,16,4
,Branchburg Township,"15,087",28,26,2
,Brick Township,"78,666",171,127,44
,Bridgeton,"24,980",76,64,12
,Bridgewater Township,"44,519",94,77,17
,Brielle,"4,879",13,13,0
,Brigantine,"12,654",46,35,11
,Brooklawn,"2,253",7,7,0
,Buena,"3,693",16,10,6
,Burlington,"9,360",41,36,5
,Burlington Township,"21,413",53,43,10
,Butler,"8,188",18,17,1
,Byram Township,"8,479",17,16,1
,Caldwell,"7,085",21,20,1
,Camden,"78,980",447,361,86
,Cape May,"3,650",30,24,6
,Carlstadt,"6,030",31,28,3
,Carney's Point Township,"8,002",27,22,5
,Carteret,"23,669",73,62,11
,Cedar Grove Township,"12,685",34,32,2
,Chatham,"8,187",26,20,6
,Chatham Township,"10,167",26,22,4
,Cherry Hill Township,"70,953",170,139,31
,Chesilhurst,"1,959",11,10,1
,Chester,"1,682",10,9,1
,Chesterfield Township,"7,609",11,10,1
,Chester Township,"7,812",16,15,1
,Cinnaminson Township,"15,448",33,31,2
,Clark Township,"14,330",52,41,11
,Clayton,"7,601",21,19,2
,Clementon,"4,876",15,13,2
,Cliffside Park,"22,848",51,42,9
,Clifton,"78,124",173,144,29
,Clinton,"2,534",10,10,0
,Clinton Township,"13,913",29,26,3
,Closter,"8,689",25,20,5
,Collingswood,"13,764",38,33,5
,Colts Neck Township,"10,119",23,22,1
,Cranbury Township,"4,013",19,18,1
,Cranford Township,"21,820",67,51,16
,Cresskill,"8,716",26,21,5
,Deal,"1,042",20,16,4
,Delanco Township,"4,848",9,8,1
,Delaware Township,"4,691",8,7,1
,Delran Township,"16,936",36,31,5
,Demarest,"5,162",15,15,0
,Denville Township,"16,558",44,35,9
,Deptford Township,"31,090",71,66,5
,Dover,"17,827",38,34,4
,Dumont,"16,910",43,36,7
,Dunellen,"7,011",22,18,4
,Eastampton Township,"6,578",17,16,1
,East Brunswick Township,"47,323",114,87,27
,East Greenwich Township,"8,105",21,19,2
,East Hanover Township,"11,395",42,34,8
,East Newark,"2,113",10,7,3
,East Orange,"64,924",339,277,62
,East Rutherford,"10,248",45,41,4
,East Windsor Township,"26,965",61,47,14
,Eatontown,"14,212",47,37,10
,Edgewater,"9,846",33,32,1
,Edgewater Park Township,"7,674",13,12,1
,Edison Township,"99,356",238,191,47
,Egg Harbor City,"4,362",15,14,1
,Egg Harbor Township,"41,005",126,91,35
,Elizabeth,"124,910",545,335,210
,Elk Township,"4,001",13,12,1
,Elmer,"1,341",2,2,0
,Elmwood Park,"18,602",43,41,2
,Emerson,"7,370",21,18,3
,Englewood,"29,463",111,83,28
,Englewood Cliffs,"5,858",25,24,1
,Englishtown,"1,934",8,8,0
,Essex Fells,"2,102",13,13,0
,Evesham Township,"45,633",84,76,8
,Ewing Township,"36,098",98,81,17
,"Fairfield Township, Essex County","7,529",46,40,6
,Fair Haven,"5,905",13,13,0
,Fair Lawn,"30,400",77,64,13
,Fairview,"13,571",37,33,4
,Fanwood,"7,078",19,18,1
,Far Hills,903,7,6,1
,Flemington,"4,285",16,15,1
,Florence Township,"11,458",32,26,6
,Florham Park,"12,605",39,33,6
,Fort Lee,"36,342",128,108,20
,Franklin,"5,068",14,14,0
,Franklin Lakes,"11,757",27,22,5
,"Franklin Township, Gloucester County","17,499",32,29,3
,"Franklin Township, Hunterdon County","3,254",6,6,0
,"Franklin Township, Somerset County","60,364",139,120,19
,Freehold,"11,474",39,31,8
,Freehold Township,"35,099",76,70,6
,Frenchtown,"1,450",4,3,1
,Galloway Township,"37,051",83,69,14
,Garfield,"28,882",71,63,8
,Garwood,"4,438",19,16,3
,Gibbsboro,"2,434",5,5,0
,Glassboro,"19,829",49,43,6
,Glen Ridge,"6,599",35,28,7
,Glen Rock,"11,086",23,21,2
,Gloucester City,"11,508",33,30,3
,Gloucester Township,"64,909",132,110,22
,Green Brook Township,"7,034",28,23,5
,"Greenwich Township, Gloucester County","4,997",20,18,2
,"Greenwich Township, Warren County","5,195",12,11,1
,Guttenberg,"10,493",27,22,5
,Hackensack,"42,801",125,103,22
,Hackettstown,"9,565",18,17,1
,Haddonfield,"11,420",24,22,2
,Haddon Heights,"7,596",16,15,1
,Haddon Township,"14,293",28,26,2
,Haledon,"8,546",18,16,2
,Hamburg,"3,504",8,7,1
,"Hamilton Township, Atlantic County","24,863",89,68,21
,"Hamilton Township, Mercer County","90,491",209,176,33
,Hammonton,"13,517",39,32,7
,Hanover Township,"13,736",39,32,7
,Harding Township,"3,332",13,12,1
,Hardyston Township,"8,559",25,19,6
,Harrington Park,"4,883",11,11,0
,Harrison,"15,296",61,47,14
,Harrison Township,"12,916",18,18,0
,Harvey Cedars,397,9,9,0
,Hasbrouck Heights,"11,383",31,29,2
,Haworth,"3,416",13,12,1
,Hawthorne,"17,972",38,33,5
,Hazlet Township,"20,893",48,43,5
,Helmetta,"2,031",5,5,0
,High Bridge,"3,662",7,7,0
,Highland Park,"14,271",34,27,7
,Highlands,"5,292",18,14,4
,Hightstown,"5,303",19,14,5
,Hillsborough Township,"39,265",69,55,14
,Hillsdale,"9,822",21,20,1
,Hillside Township,"21,108",89,74,15
,Hi-Nella,995,6,6,0
,Hoboken,"40,792",168,155,13
,Ho-Ho-Kus,"3,995",19,16,3
,Holland Township,"5,226",7,6,1
,Holmdel Township,"17,009",54,44,10
,Hopatcong,"15,447",36,26,10
,Hopewell Township,"17,941",38,30,8
,Howell Township,"51,596",112,95,17
,Independence Township,"5,705",9,8,1
,Interlaken,874,6,6,0
,Irvington,"55,838",217,187,30
,Island Heights,"1,884",5,5,0
,Jackson Township,"53,734",105,84,21
,Jamesburg,"6,401",17,13,4
,Jefferson Township,"21,903",45,38,7
,Jersey City,"240,858","1,059",885,174
,Keansburg,"10,527",42,34,8
,Kearny,"36,352",126,119,7
,Kenilworth,"7,612",31,30,1
,Keyport,"7,464",25,19,6
,Kinnelon,"9,606",16,15,1
,Lacey Township,"26,491",59,45,14
,Lake Como,"1,769",11,11,0
,Lakehurst,"2,714",12,10,2
,Lakewood Township,"72,206",162,134,28
,Lambertville,"3,727",13,11,2
,Laurel Springs,"1,896",7,7,0
,Lavallette,"2,764",17,12,5
,Lawnside,"2,858",8,6,2
,"Lawrence Township, Mercer County","31,913",81,69,12
,Lebanon Township,"6,208",10,9,1
,Leonia,"8,563",25,19,6
,Lincoln Park,"10,604",30,24,6
,Linden,"39,131",162,132,30
,Lindenwold,"17,496",45,42,3
,Linwood,"7,220",23,20,3
,Little Egg Harbor Township,"21,291",65,47,18
,Little Falls Township,"11,625",31,25,6
,Little Ferry,"10,442",30,27,3
,Little Silver,"6,111",21,16,5
,Livingston Township,"27,722",87,74,13
,Lodi,"23,754",50,41,9
,Logan Township,"6,270",21,20,1
,Long Beach Township,"3,571",51,40,11
,Long Branch,"32,758",119,100,19
,Long Hill Township,"8,593",28,25,3
,Longport,"1,092",19,14,5
,Lopatcong Township,"8,748",14,13,1
,Lower Alloways Creek Township,"1,888",19,14,5
,Lower Township,"20,060",58,43,15
,Lumberton Township,"12,174",27,24,3
,Lyndhurst Township,"19,286",60,53,7
,Madison,"16,073",39,33,6
,Magnolia,"4,321",11,11,0
,Mahwah Township,"24,180",59,50,9
,Manalapan Township,"39,615",79,64,15
,Manasquan,"6,243",24,18,6
,Manchester Township,"41,921",83,66,17
,"Mansfield Township, Burlington County","8,373",18,15,3
,"Mansfield Township, Warren County","8,123",16,15,1
,Mantoloking,455,9,8,1
,Mantua Township,"15,285",29,27,2
,Manville,"10,863",28,22,6
,Maple Shade Township,"19,165",44,36,8
,Maplewood Township,"21,795",72,60,12
,Margate City,"8,536",44,33,11
,Marlboro Township,"41,009",91,72,19
,Matawan,"8,735",25,23,2
,Maywood,"9,104",27,23,4
,Medford Lakes,"4,097",8,7,1
,Medford Township,"22,872",64,49,15
,Mendham,"5,048",12,11,1
,Mendham Township,"5,513",17,14,3
,Merchantville,"3,760",16,14,2
,Metuchen,"13,121",33,28,5
,Middlesex,"13,634",32,30,2
,Middle Township,"16,263",61,48,13
,Middletown Township,"66,565",135,107,28
,Midland Park,"6,743",15,14,1
,Millburn Township,"18,418",61,51,10
,Milltown,"6,959",19,16,3
,Millville,"29,175",94,81,13
,Monmouth Beach,"3,566",9,9,0
,"Monroe Township, Gloucester County","33,420",74,67,7
,"Monroe Township, Middlesex County","38,264",68,49,19
,Montclair,"36,788",129,108,21
,Montgomery Township,"23,524",35,30,5
,Montvale,"7,625",23,22,1
,Montville Township,"21,078",47,41,6
,Moonachie,"2,722",20,17,3
,Moorestown Township,"19,559",42,36,6
,Morris Plains,"6,050",20,16,4
,Morristown,"19,351",64,57,7
,Morris Township,"21,214",55,43,12
,Mountain Lakes,"4,276",13,13,0
,Mountainside,"6,545",27,22,5
,Mount Arlington,"5,968",15,14,1
,Mount Ephraim,"4,381",15,14,1
,Mount Holly Township,"10,195",24,22,2
,Mount Laurel Township,"39,071",78,63,15
,Mount Olive Township,"25,989",64,55,9
,Mullica Township,"6,032",15,14,1
,Neptune City,"5,100",20,16,4
,Neptune Township,"28,484",94,75,19
,Netcong,"3,221",11,9,2
,Newark,"279,203","1,671","1,297",374
,New Brunswick,"51,474",168,139,29
,Newfield,"1,675",6,6,0
,New Hanover Township,"9,442",3,3,0
,New Milford,"15,898",34,32,2
,New Providence,"11,904",30,24,6
,Newton,"8,079",34,25,9
,North Arlington,"14,648",38,30,8
,North Bergen Township,"54,948",136,117,19
,North Brunswick Township,"39,904",99,78,21
,North Caldwell,"7,016",20,16,4
,Northfield,"7,903",24,23,1
,North Haledon,"9,021",23,18,5
,North Hanover Township,"7,335",10,9,1
,North Plainfield,"21,077",54,47,7
,Northvale,"4,748",15,15,0
,North Wildwood,"4,786",38,28,10
,Norwood,"6,256",15,14,1
,Nutley Township,"26,033",77,66,11
,Oakland,"13,400",30,25,5
,Oaklyn,"4,014",13,12,1
,Ocean City,"14,686",74,59,15
,Ocean Gate,"2,143",7,6,1
,Oceanport,"5,723",19,15,4
,"Ocean Township, Monmouth County","28,360",76,63,13
,"Ocean Township, Ocean County","9,329",25,20,5
,Ogdensburg,"2,535",6,6,0
,Old Bridge Township,"66,460",139,104,35
,Old Tappan,"6,091",14,13,1
,Oradell,"7,751",22,21,1
,Orange,"30,873",125,107,18
,Oxford Township,"2,603",4,3,1
,Palisades Park,"19,639",39,30,9
,Palmyra,"7,374",18,16,2
,Paramus,"26,168",118,92,26
,Park Ridge,"8,940",18,17,1
,Parsippany-Troy Hills Township,"50,095",133,107,26
,Passaic,"66,773",224,189,35
,Paterson,"144,943",579,488,91
,Paulsboro,"6,066",19,18,1
,Peapack and Gladstone,"2,572",8,7,1
,Pemberton,"1,583",6,6,0
,Pemberton Township,"27,914",61,56,5
,Pennington,"2,651",6,6,0
,Pennsauken Township,"34,905",113,89,24
,Penns Grove,"4,668",19,14,5
,Pennsville Township,"13,365",25,23,2
,Pequannock Township,"17,003",36,31,5
,Perth Amboy,"48,897",141,115,26
,Phillipsburg,"14,459",38,37,1
,Pine Beach,"2,093",6,5,1
,Pine Hill,"11,358",23,21,2
,Pine Valley,25,4,4,0
,Piscataway Township,"52,605",105,87,18
,Pitman,"9,193",16,15,1
,Plainfield,"45,939",180,148,32
,Plainsboro Township,"21,243",46,34,12
,Pleasantville,"18,838",67,53,14
,Plumsted Township,"8,318",12,11,1
,Pohatcong Township,"3,321",15,14,1
,Point Pleasant,"20,232",41,33,8
,Point Pleasant Beach,"5,430",30,24,6
,Pompton Lakes,"11,075",28,24,4
,Princeton,"13,373",37,27,10
,Princeton Township,"17,517",40,31,9
,Prospect Park,"5,574",15,15,0
,Rahway,"28,869",87,76,11
,Ramsey,"14,620",35,29,6
,Randolph Township,"25,226",47,38,9
,Raritan,"7,413",23,18,5
,Raritan Township,"22,637",35,32,3
,Readington Township,"16,053",25,23,2
,Red Bank,"11,866",48,42,6
,Ridgefield,"10,852",29,27,2
,Ridgefield Park,"12,316",39,30,9
,Ridgewood,"24,080",48,43,5
,Ringwood,"12,711",26,21,5
,Riverdale,"2,902",22,18,4
,River Edge,"10,644",25,22,3
,Riverside Township,"7,671",16,16,0
,Riverton,"2,613",5,4,1
,River Vale Township,"9,634",24,21,3
,Robbinsville Township,"12,314",34,26,8
,Rochelle Park Township,"6,144",24,20,4
,Rockaway,"6,241",16,15,1
,Rockaway Township,"25,828",68,57,11
,Roseland,"5,358",27,27,0
,Roselle,"20,523",68,56,12
,Roselle Park,"12,750",41,34,7
,Roxbury Township,"23,311",60,48,12
,Rumson,"7,276",22,21,1
,Runnemede,"8,398",20,19,1
,Rutherford,"17,384",43,40,3
,Saddle Brook Township,"14,019",35,32,3
,Saddle River,"3,858",23,18,5
,Salem,"5,641",26,23,3
,Sayreville,"42,401",104,88,16
,Scotch Plains Township,"22,907",52,46,6
,Sea Bright,"1,802",11,10,1
,Sea Girt,"2,061",14,12,2
,Sea Isle City,"2,915",36,24,12
,Seaside Heights,"3,364",33,25,8
,Seaside Park,"2,317",19,15,4
,Secaucus,"15,312",64,57,7
,Ship Bottom,"1,456",12,11,1
,Shrewsbury,"3,798",21,16,5
,Somerdale,"5,074",14,13,1
,Somers Point,"11,316",32,27,5
,Somerville,"12,672",39,32,7
,South Amboy,"7,761",31,25,6
,South Bound Brook,"5,191",13,12,1
,South Brunswick Township,"41,448",101,78,23
,South Hackensack Township,"2,262",19,17,2
,South Harrison Township,"3,223",6,6,0
,South Orange,"15,767",56,51,5
,South Plainfield,"22,710",71,56,15
,South River,"15,715",40,32,8
,South Toms River,"3,718",13,12,1
,Sparta Township,"19,336",49,37,12
,Spotswood,"8,173",23,19,4
,Springfield,"14,873",47,41,6
,Springfield Township,"3,492",9,8,1
,Spring Lake,"3,514",18,14,4
,Spring Lake Heights,"5,122",13,13,0
,Stafford Township,"26,985",84,58,26
,Stanhope,"3,559",10,9,1
,Stillwater Township,"4,294",3,3,0
,Stone Harbor,"1,000",23,17,6
,Stratford,"7,026",16,15,1
,Summit,"20,494",57,48,9
,Surf City,"1,571",10,10,0
,Teaneck Township,"37,985",110,95,15
,Tenafly,"14,759",44,37,7
,Tewksbury Township,"6,088",12,11,1
,Tinton Falls,"20,069",42,41,1
,Toms River Township,"96,614",207,159,48
,Totowa,"10,705",30,27,3
,Trenton,"82,609",466,372,94
,Tuckerton,"3,918",10,10,0
,Union Beach,"6,615",18,14,4
,Union City,"61,665",208,162,46
,Union Township,"53,579",181,130,51
,Upper Saddle River,"8,537",24,18,6
,Ventnor City,"12,111",50,39,11
,Vernon Township,"24,870",41,32,9
,Verona,"12,384",33,29,4
,Vineland,"59,121",187,157,30
,Voorhees Township,"31,686",65,52,13
,Waldwick,"9,511",24,19,5
,Wallington,"11,265",22,21,1
,Wall Township,"26,265",84,67,17
,Wanaque,"12,433",27,23,4
,Warren Township,"16,150",38,30,8
,"Washington Township, Bergen County","9,615",22,22,0
,"Washington Township, Glouchester County","51,757",90,83,7
,"Washington Township, Morris County","18,468",35,31,4
,"Washington Township, Warren County","6,935",26,24,2
,Watchung,"6,720",37,30,7
,Waterford Township,"10,674",25,22,3
,Wayne Township,"53,891",148,120,28
,Weehawken Township,"12,252",63,57,6
,Wenonah,"2,360",7,7,0
,Westampton Township,"8,799",24,22,2
,West Amwell Township,"2,970",7,6,1
,West Caldwell Township,"10,358",34,28,6
,West Deptford Township,"22,326",44,40,4
,Westfield,"29,426",68,56,12
,West Long Branch,"8,346",26,21,5
,West Milford Township,"27,879",52,45,7
,West New York,"46,528",122,111,11
,West Orange,"42,357",135,119,16
,Westville,"4,464",15,14,1
,West Wildwood,395,8,8,0
,West Windsor Township,"27,061",60,47,13
,Westwood,"10,666",38,26,12
,Wharton,"6,060",22,21,1
,Wildwood,"5,242",49,46,3
,Wildwood Crest,"3,987",27,21,6
,Willingboro Township,"36,977",83,71,12
,Winfield Township,"1,435",9,9,0
,Winslow Township,"39,975",101,84,17
,Woodbridge Township,"98,013",250,204,46
,Woodbury,"10,467",30,27,3
,Woodbury Heights,"3,059",8,7,1
,Woodcliff Lake,"5,962",18,17,1
,Woodland Park,"12,014",30,26,4
,Wood-Ridge,"7,432",24,20,4
,Woodstown,"3,385",10,9,1
,Woolwich Township,"12,624",22,21,1
,Wyckoff Township,"16,938",31,23,8
NEW MEXICO,Alamogordo,"35,823",114,71,43
,Albuquerque,"530,636","1,473","1,087",386
,Angel Fire,974,6,5,1
,Artesia,"11,015",53,33,20
,Aztec,"6,977",16,13,3
,Bayard,"2,386",6,6,0
,Belen,"7,342",25,20,5
,Bernalillo,"9,608",24,21,3
,Bloomfield,"7,292",26,20,6
,Bosque Farms,"4,073",14,13,1
,Capitan,"1,517",4,4,0
,Carlsbad,"25,638",70,50,20
,Carrizozo,"1,048",3,2,1
,Clayton,"2,281",15,8,7
,Cloudcroft,898,46,33,13
,Clovis,"32,332",88,60,28
,Corrales,"7,848",19,16,3
,Cuba,"1,498",7,6,1
,Deming,"15,625",39,34,5
,Dexter,"1,230",5,4,1
,Espanola,"9,690",35,25,10
,Estancia,"1,571",6,5,1
,Eunice,"2,798",14,7,7
,Gallup,"19,916",82,61,21
,Grants,"8,877",20,15,5
,Hatch,"1,646",10,8,2
,Hobbs,"30,710",118,70,48
,Hurley,"1,405",5,4,1
,Jal,"2,052",10,5,5
,Las Cruces,"94,024",259,176,83
,Las Vegas,"13,737",50,33,17
,Logan,992,4,4,0
,Lordsburg,"2,765",12,11,1
,Los Alamos,"18,187",71,33,38
,Los Lunas,"14,701",58,34,24
,Lovington,"10,040",31,23,8
,Magdalena,981,4,4,0
,Mesilla,"2,198",6,6,0
,Milan,"2,577",9,5,4
,Moriarty,"1,962",11,10,1
,Portales,"12,343",40,23,17
,Questa,"1,912",2,1,1
,Raton,"6,381",24,16,8
,Red River,519,5,4,1
,Rio Rancho,"83,417",209,125,84
,Roswell,"46,314",119,83,36
,Ruidoso,"9,233",41,26,15
,Ruidoso Downs,"2,638",17,9,8
,Santa Clara,"1,847",3,3,0
,Santa Fe,"72,845",201,155,46
,Santa Rosa,"2,630",15,8,7
,Silver City,"10,310",35,30,5
,Socorro,"9,004",29,20,9
,Springer,"1,132",2,2,0
,Sunland Park,"14,574",24,21,3
,Taos,"5,646",31,23,8
,Taos Ski Valley,58,3,3,0
,Tatum,764,7,3,4
,Texico,979,2,2,0
,Truth or Consequences,"6,732",17,15,2
,Tucumcari,"5,198",19,16,3
,Tularosa,"3,018",12,6,6
NEW YORK,Addison Town and Village,"2,498",2,2,0
,Akron Village,"2,955",2,2,0
,Albany,"93,445",463,327,136
,Albion Village,"5,505",12,12,0
,Alexandria Bay Village,"1,118",2,2,0
,Alfred Village,"4,943",6,6,0
,Allegany Village,"1,747",3,2,1
,Amherst Town,"110,399",185,152,33
,Amity Town and Belmont Village,"2,158",1,1,0
,Amityville Village,"9,974",29,27,2
,Amsterdam,"17,448",40,38,2
,Arcade Village,"1,874",6,6,0
,Ardsley Village,"4,910",20,20,0
,Asharoken Village,664,3,3,0
,Attica Village,"2,393",5,5,0
,Auburn,"26,991",77,69,8
,Baldwinsville Village,"7,266",17,14,3
,Ballston Spa Village,"5,453",4,4,0
