Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2009",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Sahuarita,"28,201",50,43,7
,San Luis,"26,222",48,31,17
,Scottsdale,"239,115",682,426,256
,Sedona,"11,759",40,30,10
,Show Low,"12,929",42,29,13
,Sierra Vista,"43,956",97,68,29
,Snowflake-Taylor,"10,084",22,13,9
,Somerton,"13,041",32,23,9
,South Tucson,"6,071",16,12,4
,Springerville,"1,994",10,7,3
,St. Johns,"3,613",14,11,3
,Superior,"3,346",12,9,3
,Surprise,"104,692",176,126,50
,Tempe,"177,486",546,356,190
,Thatcher,"5,122",12,11,1
,Tolleson,"7,498",40,31,9
,Tucson,"547,981","1,365","1,012",353
,Wellton,"1,916",6,6,0
,Wickenburg,"6,707",22,14,8
,Willcox,"3,807",20,11,9
,Williams,"3,361",19,12,7
,Winslow,"9,903",39,26,13
,Youngtown,"5,177",15,14,1
,Yuma,"91,433",236,153,83
ARKANSAS,Alma,"5,219",19,11,8
,Altheimer,"1,101",1,1,0
,Arkadelphia,"11,158",25,21,4
,Arkansas City,510,1,1,0
,Ashdown,"4,405",13,11,2
,Ash Flat,"1,106",3,3,0
,Atkins,"2,968",7,6,1
,Augusta,"2,210",8,8,0
,Austin,"2,054",3,3,0
,Bald Knob,"3,443",9,5,4
,Barling,"4,507",10,10,0
,Bay,"2,055",4,3,1
,Bearden,977,2,2,0
,Beebe,"7,096",20,13,7
,Bella Vista,"27,167",29,20,9
,Benton,"30,276",67,56,11
,Bentonville,"37,816",80,54,26
,Berryville,"5,335",13,11,2
,Blytheville,"15,889",62,43,19
,Bono,"1,608",4,4,0
,Booneville,"4,083",12,8,4
,Bradford,859,3,3,0
,Brinkley,"3,142",17,13,4
,Bryant,"15,573",41,31,10
,Bull Shoals,"2,155",3,3,0
,Cabot,"24,766",49,36,13
,Caddo Valley,649,5,4,1
,Camden,"11,349",39,25,14
,Cammack Village,776,5,4,1
,Caraway,"1,398",2,2,0
,Carlisle,"2,420",10,6,4
,Cave City,"2,057",3,3,0
,Cave Springs,"1,782",4,4,0
,Centerton,"9,911",11,10,1
,Charleston,"3,035",4,4,0
,Cherokee Village,"4,792",9,8,1
,Clarendon,"1,637",4,4,0
,Clarksville,"8,679",22,18,4
,Clinton,"2,482",9,8,1
,Conway,"59,343",154,111,43
,Corning,"3,270",11,7,4
,Cotter,"1,098",2,2,0
,Crossett,"5,459",24,15,9
,Danville,"2,486",6,5,1
,Dardanelle,"4,458",14,10,4
,Decatur,"1,990",6,6,0
,De Queen,"5,970",16,13,3
,Dermott,"3,172",13,7,6
,Des Arc,"1,685",4,4,0
,De Valls Bluff,684,1,1,0
,De Witt,"3,223",12,8,4
,Diaz,"1,143",2,2,0
,Dierks,"1,216",3,3,0
,Dover,"1,407",4,4,0
,Dumas,"4,560",25,12,13
,Earle,"2,704",8,6,2
,El Dorado,"19,741",66,49,17
,Elkins,"2,730",6,6,0
,England,"3,023",11,6,5
,Etowah,339,1,1,0
,Eudora,"2,292",6,5,1
,Eureka Springs,"2,361",16,10,6
,Fairfield Bay,"2,500",17,8,9
,Farmington,"4,802",11,10,1
,Fayetteville,"75,120",166,119,47
,Flippin,"1,384",6,6,0
,Fordyce,"4,171",12,8,4
,Forrest City,"13,123",42,32,10
,Fort Smith,"85,175",207,162,45
,Gassville,"2,203",4,4,0
,Gentry,"3,041",10,8,2
,Glenwood,"1,985",3,3,0
,Gosnell,"3,541",9,9,0
,Gould,"1,127",2,2,0
,Gravette,"2,653",8,7,1
,Greenbrier,"4,642",14,10,4
,Green Forest,"3,081",7,6,1
,Greenland,"1,282",4,4,0
,Greenwood,"8,814",22,20,2
,Greers Ferry,967,4,3,1
,Gurdon,"2,286",4,3,1
,Guy,566,1,1,0
,Hamburg,"2,689",5,4,1
,Hampton,"1,457",4,4,0
,Hardy,815,4,3,1
,Harrisburg,"2,109",4,4,0
,Harrison,"13,312",40,28,12
,Hazen,"1,441",4,4,0
,Heber Springs,"7,279",24,14,10
,Helena-West Helena,"11,921",55,40,15
,Hermitage,748,3,3,0
,Highfill,785,2,2,0
,Highland,"1,096",3,3,0
,Hope,"10,354",35,24,11
,Horseshoe Bend,"2,213",5,5,0
,Hot Springs,"39,864",129,100,29
,Hoxie,"2,630",5,4,1
,Huntsville,"2,444",8,7,1
,Jacksonville,"31,483",83,72,11
,Jonesboro,"64,944",156,145,11
,Judsonia,"2,202",3,2,1
,Keiser,801,1,1,0
,Kensett,"1,852",4,4,0
,Lake City,"2,147",4,4,0
,Lakeview,857,2,2,0
,Lake Village,"2,342",14,8,6
,Leachville,"1,834",4,3,1
,Lepanto,"2,007",6,4,2
,Lewisville,"1,134",2,2,0
,Lincoln,"2,118",5,5,0
,Little Flock,"3,210",7,7,0
,Little Rock,"190,205",647,531,116
,Lonoke,"4,636",16,11,5
,Lowell,"7,397",21,14,7
,Luxora,"1,209",2,2,0
,Magnolia,"11,011",28,21,7
,Malvern,"8,949",22,19,3
,Mammoth Spring,"1,108",2,2,0
,Mansfield,"1,122",4,4,0
,Marianna,"4,319",15,10,5
,Marion,"12,641",25,23,2
,Marked Tree,"2,615",12,8,4
,Marmaduke,"1,175",4,4,0
,Marvell,"1,102",10,7,3
,Maumelle,"16,958",37,29,8
,Mayflower,"2,310",5,4,1
,McCrory,"1,520",5,5,0
,McGehee,"3,888",26,9,17
,McRae,712,2,2,0
,Mena,"5,626",14,13,1
,Mineral Springs,"1,271",3,3,0
,Monette,"1,234",3,3,0
,Monticello,"9,281",28,22,6
,Morrilton,"6,584",31,21,10
,Mountain Home,"12,767",34,27,7
,Mountain View,"3,133",9,8,1
,Mulberry,"1,730",3,3,0
,Murfreesboro,"1,629",3,3,0
,Nashville,"4,806",17,16,1
,Newport,"7,364",20,13,7
,North Little Rock,"59,320",214,184,30
,Ola,"1,242",3,3,0
,Osceola,"7,816",38,24,14
,Ozark,"3,587",12,10,2
,Pangburn,705,1,1,0
,Paragould,"25,113",51,41,10
,Paris,"3,602",14,9,5
,Pea Ridge,"4,924",10,10,0
,Perryville,"1,440",4,4,0
,Piggott,"3,440",9,8,1
,Pine Bluff,"49,915",164,138,26
,Plainview,778,1,1,0
,Plummerville,865,3,3,0
,Pocahontas,"6,736",14,13,1
,Pottsville,"2,902",5,5,0
,Prairie Grove,"3,809",9,9,0
,Prescott,"4,439",9,8,1
,Quitman,738,4,4,0
,Ravenden,490,1,1,0
,Redfield,"1,171",5,4,1
,Rison,"1,282",3,3,0
,Rockport,809,6,5,1
,Rogers,"58,992",129,91,38
,Rose Bud,460,3,2,1
,Russellville,"28,035",62,54,8
,Salem,"1,613",3,3,0
,Searcy,"22,647",64,46,18
,Sheridan,"4,640",28,14,14
,Sherwood,"24,888",97,72,25
,Siloam Springs,"15,325",56,33,23
,Smackover,"1,868",4,4,0
,Springdale,"70,935",162,116,46
,Stamps,"1,888",3,3,0
,Star City,"2,203",6,5,1
,Stuttgart,"8,891",24,17,7
,Sulphur Springs,693,2,2,0
,Swifton,776,2,1,1
,Texarkana,"30,348",122,82,40
,Trumann,"6,781",22,14,8
,Tuckerman,"1,621",4,3,1
,Van Buren,"22,964",58,43,15
,Vilonia,"3,685",6,6,0
,Waldron,"3,574",11,9,2
,Walnut Ridge,"4,636",9,8,1
,Ward,"4,086",6,5,1
,Warren,"6,079",19,14,5
,Weiner,719,1,1,0
,West Fork,"2,355",7,6,1
,West Memphis,"26,995",100,82,18
,White Hall,"5,158",16,14,2
,Wynne,"8,419",18,16,2
CALIFORNIA,Alameda,"70,372",134,91,43
,Albany,"15,950",34,25,9
,Alhambra,"85,956",128,83,45
,Alturas,"2,778",7,6,1
,Anaheim,"335,970",609,405,204
,Anderson,"10,718",27,17,10
,Antioch,"101,243",158,114,44
,Arcadia,"56,596",99,68,31
,Arcata,"17,093",35,25,10
,Arroyo Grande,"17,323",33,25,8
,Arvin,"15,320",26,18,8
,Atascadero,"28,675",38,27,11
,Atherton,"7,430",23,18,5
,Atwater,"26,966",44,34,10
,Auburn,"13,306",29,22,7
,Azusa,"47,078",89,60,29
,Bakersfield,"330,897",465,339,126
,Baldwin Park,"77,539",105,75,30
,Banning,"29,568",48,35,13
,Barstow,"24,822",53,39,14
,Bear Valley,"4,618",17,8,9
,Beaumont,"36,800",77,57,20
,Bell,"36,651",44,31,13
,Bell Gardens,"44,756",68,48,20
,Belmont,"24,742",43,30,13
,Belvedere,"2,052",9,8,1
,Benicia,"26,089",52,36,16
,Berkeley,"101,190",280,180,100
,Beverly Hills,"34,506",200,133,67
,Bishop,"3,393",19,13,6
,Blythe,"21,841",32,21,11
,Brawley,"22,810",49,34,15
,Brea,"38,637",134,99,35
,Brentwood,"53,494",78,61,17
,Brisbane,"3,686",19,15,4
,Broadmoor,"4,393",11,10,1
,Buena Park,"79,525",136,90,46
,Burbank,"103,248",257,160,97
,Burlingame,"27,656",57,39,18
,Calexico,"39,820",71,43,28
,California City,"15,492",23,16,7
,Calipatria,"7,623",4,4,0
,Calistoga,"5,178",15,11,4
,Campbell,"38,584",63,41,22
,Capitola,"9,565",30,24,6
,Carlsbad,"98,482",156,109,47
,Carmel,"3,864",21,14,7
,Cathedral City,"53,236",94,55,39
,Ceres,"43,669",67,49,18
,Chico,"84,724",150,95,55
,Chino,"84,626",146,97,49
,Chowchilla,"19,817",25,19,6
,Chula Vista,"224,841",325,232,93
,Citrus Heights,"84,333",127,87,40
,City of Angels,"3,804",10,9,1
,Claremont,"35,628",61,39,22
,Clayton,"11,333",12,11,1
,Clearlake,"15,261",30,22,8
,Cloverdale,"8,304",25,17,8
,Clovis,"95,229",138,93,45
,Coalinga,"19,308",30,20,10
,Colma,"1,452",25,18,7
,Colton,"50,803",97,62,35
,Colusa,"5,946",10,9,1
,Concord,"121,042",200,152,48
,Corcoran,"25,474",31,21,10
,Corning,"7,253",25,15,10
,Corona,"152,438",245,174,71
,Coronado,"22,482",61,41,20
,Costa Mesa,"110,150",234,160,74
,Cotati,"7,248",18,12,6
,Covina,"46,946",88,56,32
,Crescent City,"7,889",14,13,1
,Culver City,"38,545",150,108,42
,Cypress,"47,181",73,55,18
,Daly City,"101,284",151,109,42
,Davis,"62,994",93,58,35
,Delano,"54,801",75,48,27
,Del Rey Oaks,"1,516",6,6,0
,Desert Hot Springs,"25,577",36,30,6
,Dinuba,"20,682",48,37,11
,Dixon,"17,562",28,24,4
,Dos Palos,"5,015",9,7,2
,Downey,"107,598",169,119,50
,East Palo Alto,"34,005",47,36,11
,El Cajon,"92,466",184,117,67
,El Centro,"40,337",78,55,23
,El Cerrito,"22,116",52,41,11
,Elk Grove,"140,576",194,127,67
,El Monte,"122,428",174,127,47
,El Segundo,"16,235",104,70,34
,Emeryville,"9,929",56,39,17
,Escalon,"7,414",14,10,4
,Escondido,"137,432",209,158,51
,Etna,768,3,2,1
,Eureka,"25,216",75,47,28
,Exeter,"10,054",17,16,1
,Fairfax,"7,038",16,11,5
,Fairfield,"104,478",183,122,61
,Farmersville,"10,214",18,16,2
,Ferndale,"1,384",4,4,0
,Firebaugh,"7,032",16,12,4
,Folsom,"69,728",108,81,27
,Fontana,"190,303",293,197,96
,Fort Bragg,"6,581",23,17,6
,Fortuna,"11,424",25,16,9
,Foster City,"29,123",54,39,15
,Fountain Valley,"55,570",80,59,21
,Fowler,"5,769",11,10,1
,Fremont,"202,714",275,177,98
,Fresno,"481,370","1,217",827,390
,Fullerton,"132,478",224,156,68
,Galt,"24,554",46,33,13
,Gardena,"58,623",115,89,26
,Garden Grove,"165,837",240,166,74
,Gilroy,"50,946",85,55,30
,Glendale,"197,384",371,258,113
,Glendora,"49,400",96,53,43
,Gonzales,"8,637",15,13,2
,Grass Valley,"12,271",34,25,9
,Greenfield,"15,511",19,15,4
,Gridley,"6,589",21,16,5
,Grover Beach,"13,135",29,19,10
,Guadalupe,"6,708",12,10,2
,Gustine,"5,133",11,9,2
,Half Moon Bay,"12,514",17,14,3
,Hanford,"51,102",73,51,22
,Hawthorne,"84,314",133,99,34
,Hayward,"142,227",292,185,107
,Healdsburg,"10,968",26,17,9
,Hemet,"72,417",93,68,25
,Hercules,"25,120",33,30,3
,Hermosa Beach,"19,431",61,36,25
,Hillsborough,"10,846",35,26,9
,Hollister,"34,883",37,27,10
,Holtville,"5,392",6,5,1
,Huntington Beach,"192,911",358,225,133
,Huntington Park,"60,840",111,71,40
,Huron,"7,764",17,13,4
,Imperial,"14,565",19,17,2
,Indio,"89,459",122,72,50
,Inglewood,"112,712",270,189,81
,Ione,"7,518",7,6,1
,Irvine,"215,673",282,195,87
,Irwindale,"1,438",37,28,9
,Isleton,839,4,4,0
,Jackson,"4,359",12,11,1
,Kensington,"5,387",9,9,0
,Kerman,"13,285",19,16,3
,King City,"11,683",22,19,3
,Kingsburg,"11,276",21,15,6
,Laguna Beach,"24,019",82,47,35
,La Habra,"59,120",103,68,35
,Lakeport,"5,171",15,13,2
,Lake Shastina,"2,390",5,4,1
,La Mesa,"54,663",96,66,30
,La Palma,"15,619",32,24,8
,La Verne,"33,842",65,45,20
,Lemoore,"24,375",38,31,7
,Lincoln,"50,654",42,32,10
,Lindsay,"10,587",25,21,4
,Livermore,"80,915",145,90,55
,Livingston,"13,764",28,18,10
,Lodi,"61,748",105,71,34
,Lompoc,"41,085",71,51,20
,Long Beach,"463,969","1,328",955,373
,Los Alamitos,"11,668",26,22,4
,Los Altos,"28,380",45,29,16
,Los Angeles,"3,848,776","13,195","9,980","3,215"
,Los Banos,"36,097",56,39,17
,Los Gatos,"29,388",61,42,19
,Madera,"58,372",80,59,21
,Mammoth Lakes,"7,433",23,20,3
,Manhattan Beach,"36,907",98,64,34
,Manteca,"66,908",96,66,30
,Marina,"17,837",38,29,9
,Martinez,"35,059",53,39,14
,Marysville,"11,638",30,19,11
,Maywood,"28,234",61,39,22
,Mendota,"10,652",10,9,1
,Menlo Park,"30,011",73,48,25
,Merced,"78,693",136,99,37
,Millbrae,"20,811",24,19,5
,Mill Valley,"13,230",27,22,5
,Milpitas,"68,047",109,86,23
,Modesto,"204,474",339,245,94
