Table 78,,,,,,
Full-time Law Enforcement Employees ,,,,,,
"by State by City, 2006",,,,,,
State,City,Total law enforcement employees,Total officers,Total civilians,,
,Sedona,37,28,9,,
,Show Low,45,30,15,,
,Sierra Vista,81,54,27,,
,Snowflake-Taylor,19,12,7,,
,Somerton,27,19,8,,
,South Tucson,29,21,8,,
,Springerville,10,7,3,,
,St. Johns,11,9,2,,
,Superior,12,7,5,,
,Surprise,133,95,38,,
,Tempe,501,323,178,,
,Thatcher,11,10,1,,
,Tolleson,39,29,10,,
,Tucson,"1,376",994,382,,
,Wellton,4,4,0,,
,Wickenburg,21,13,8,,
,Willcox,14,6,8,,
,Williams,19,11,8,,
,Winslow,38,25,13,,
,Youngtown,15,13,2,,
,Yuma,235,151,84,,
ARKANSAS,Alma,16,8,8,,
,Altheimer,1,1,0,,
,Arkadelphia,27,21,6,,
,Arkansas City,1,1,0,,
,Ashdown,12,11,1,,
,Ash Flat,2,2,0,,
,Atkins,7,6,1,,
,Augusta,7,7,0,,
,Austin,1,1,0,,
,Bald Knob,8,4,4,,
,Barling,9,9,0,,
,Bay,4,3,1,,
,Bearden,2,2,0,,
,Beebe,14,8,6,,
,Benton,61,54,7,,
,Bentonville,74,49,25,,
,Berryville,12,10,2,,
,Blytheville,57,38,19,,
,Bono,3,3,0,,
,Booneville,12,8,4,,
,Bradford,3,3,0,,
,Brinkley,15,11,4,,
,Bryant,35,28,7,,
,Bull Shoals,3,3,0,,
,Cabot,47,35,12,,
,Caddo Valley,5,4,1,,
,Camden,33,22,11,,
,Cammack Village,4,3,1,,
,Caraway,3,3,0,,
,Carlisle,9,5,4,,
,Cave City,3,3,0,,
,Cave Springs,4,3,1,,
,Centerton,11,10,1,,
,Charleston,5,4,1,,
,Cherokee Village,6,5,1,,
,Clarendon,4,4,0,,
,Clarksville,24,17,7,,
,Clinton,8,7,1,,
,Conway,115,95,20,,
,Corning,11,7,4,,
,Crossett,25,16,9,,
,Danville,6,5,1,,
,Dardanelle,13,9,4,,
,Decatur,7,7,0,,
,De Queen,15,12,3,,
,Dermott,13,7,6,,
,Des Arc,4,4,0,,
,De Witt,14,8,6,,
,Diaz,2,2,0,,
,Dierks,3,3,0,,
,Dover,4,3,1,,
,Dumas,23,11,12,,
,Earle,6,5,1,,
,El Dorado,61,45,16,,
,Elkins,7,7,0,,
,England,10,6,4,,
,Etowah,1,1,0,,
,Eureka Springs,16,10,6,,
,Fairfield Bay,14,8,6,,
,Farmington,10,9,1,,
,Fayetteville,181,120,61,,
